Student_Id,Gender,Age,City_Tier,SSC_Percentage,SSC_Board,HSC_Percentage,HSC_Board,HSC_Stream,Degree_Percentage,Degree_Field,MBA_Percentage,Specialization,Internships,Projects,Certificates,Technical_Skills_Score,Soft_Skills_Score,Aptitude_Skills_Score,communication_score,Work_Experience_Months,Leadership_Roles,Extracurricular_Activities,Backlogs,Placed,Salary_LPA,Has_MBA
STU000013,Female,21,"Tier 1",72.54,State,79.26,CBSE,Commerce,65.91,Business,0,"Not Applicable",0,1,1,5.5,7.1,83.7,7,0,0,4,2,1,10.93,0
STU000014,Male,21,"Tier 2",52.61,State,53.89,State,Commerce,60.8,Engineering,0,"Not Applicable",1,7,4,5.1,7.1,39.6,5.9,16,2,3,0,1,9.77,0
STU000015,Male,20,"Tier 1",48.54,CBSE,40,State,Science,47.5,Engineering,0,"Not Applicable",1,4,2,2.6,2.3,77,2.1,21,0,5,0,1,10.9,0
STU000016,Male,22,"Tier 2",93.54,State,92.14,CBSE,Commerce,94.48,Engineering,0,"Not Applicable",1,7,1,8.7,9.3,26,9.3,34,0,5,0,1,16.92,0
STU000017,Male,22,"Tier 3",78.63,State,93.74,ICSE,Science,95.16,Other,0,"Not Applicable",2,3,2,3.5,3.4,60.7,4,0,0,6,0,1,10.41,0
STU000018,Male,21,"Tier 3",70.29,CBSE,71.68,ICSE,Commerce,58.36,Arts,0,"Not Applicable",0,3,2,1.7,1.3,11.6,1,24,0,0,1,0,0,0
STU000019,Male,22,"Tier 2",55.44,State,53.56,State,Science,54.74,Science,61.65,"Marketing & HR",4,4,2,4.1,5,67,6.6,9,1,5,0,1,11.17,1
STU000020,Male,20,"Tier 2",79.5,CBSE,79.94,CBSE,Science,79.96,Business,0,"Not Applicable",1,5,0,3.8,5.7,48.6,5.8,0,5,3,1,1,10.53,0
STU000021,Female,23,"Tier 3",82.53,ICSE,87.4,State,Commerce,91.36,Business,0,"Not Applicable",3,3,2,7,7.1,64.1,6.2,35,1,2,0,1,15.49,0
STU000022,Male,21,"Tier 2",83.6,State,87.89,CBSE,Science,83.46,Science,0,"Not Applicable",2,4,0,3.3,3,43.9,2.7,0,0,0,0,0,0,0
STU000023,Male,22,"Tier 3",82.57,State,85.62,ICSE,Arts,90.19,Science,0,"Not Applicable",0,4,1,5.3,7.4,44.7,8.9,14,0,2,0,1,10.73,0
STU000024,Male,23,"Tier 2",86.36,State,87.02,State,Commerce,85.8,Engineering,0,"Not Applicable",0,2,2,6.5,6.4,51,6.8,35,0,2,2,0,0,0
STU000025,Male,19,"Tier 1",69.2,State,65.05,CBSE,Science,73.12,Business,0,"Not Applicable",3,9,5,5,4.7,59.6,4.9,0,0,0,0,1,11.11,0
STU000026,Female,21,"Tier 1",65.23,CBSE,69.24,State,Science,63.76,Engineering,0,"Not Applicable",2,2,0,4.7,6.9,74.7,6.9,0,1,0,1,1,10.47,0
STU000027,Male,20,"Tier 3",75.59,State,69.97,State,Arts,54.66,Business,51.82,"Marketing & Finance",2,7,3,3.3,1.7,56.2,1,0,1,0,0,1,8.63,1
STU000028,Male,24,"Tier 1",63.01,CBSE,63.25,CBSE,Science,61.91,Business,74.36,"Marketing & HR",0,2,1,6,7.2,51.6,8.2,0,0,4,1,0,0,1
STU000029,Female,21,"Tier 1",75.27,ICSE,69.57,CBSE,Commerce,68.53,Arts,0,"Not Applicable",1,4,0,7.3,10,63.7,10,24,2,7,0,1,11.87,0
STU000030,Male,20,"Tier 1",54.01,State,58.23,State,Science,52.47,Engineering,67.78,"Finance & HR",2,3,1,4.9,3.8,92.7,4,0,1,3,0,1,10.53,1
STU000031,Female,22,"Tier 2",71.05,State,76.2,State,Commerce,73.07,Business,0,"Not Applicable",1,6,3,5.4,6,51.4,6.8,24,3,4,0,1,11.39,0
STU000032,Male,22,"Tier 2",81.36,CBSE,69.84,ICSE,Commerce,68.62,Engineering,67.07,"Finance & HR",2,3,3,7.3,9,44.7,9.1,0,2,3,1,1,11.11,1
STU000033,Male,23,"Tier 3",88.36,ICSE,91.89,CBSE,Science,89,Business,56.73,"Finance & HR",2,3,1,5.2,7.1,44.6,7.6,0,0,3,1,1,11.36,1
STU000034,Female,22,"Tier 2",75.18,CBSE,92.35,ICSE,Science,78.42,Engineering,0,"Not Applicable",1,2,3,4.7,4.5,57.8,5.5,0,0,6,4,1,12.17,0
STU000035,Female,25,"Tier 2",78.4,CBSE,89.87,CBSE,Science,77.09,Business,0,"Not Applicable",2,2,3,6.1,6.3,89.1,5.7,0,0,2,0,1,11.48,0
STU000036,Female,20,"Tier 3",72.78,ICSE,80.18,State,Commerce,93.6,Science,0,"Not Applicable",2,3,5,7.9,6.6,68.4,5.8,0,3,5,2,0,0,0
STU000037,Male,20,"Tier 2",82.31,CBSE,89.27,CBSE,Commerce,94.94,Engineering,0,"Not Applicable",0,3,1,4.2,3.4,85.8,3.1,33,1,6,0,1,13.81,0
STU000038,Male,24,"Tier 2",71.57,State,71.36,CBSE,Arts,69.07,Engineering,0,"Not Applicable",3,3,2,4.5,5.1,21.4,3.6,6,1,1,0,0,0,0
STU000039,Female,24,"Tier 3",80.23,CBSE,79.68,ICSE,Commerce,79.25,Business,0,"Not Applicable",3,4,3,4.8,5.4,84.5,6.1,0,1,6,1,1,10.5,0
STU000040,Male,21,"Tier 2",60.3,ICSE,57.37,CBSE,Commerce,51.68,Business,0,"Not Applicable",4,7,7,3.7,1.2,100,1,0,2,6,0,1,11.97,0
STU000041,Male,21,"Tier 2",59.68,State,65.02,ICSE,Science,64.36,Engineering,0,"Not Applicable",2,2,1,3.5,4.2,45.8,5.6,14,3,6,1,1,8.93,0
STU000042,Male,21,"Tier 2",74.9,State,75.5,State,Commerce,86.42,Business,0,"Not Applicable",0,0,4,7,6.1,44.5,6.8,26,2,0,1,0,0,0
STU000043,Male,23,"Tier 2",77.55,State,79.58,CBSE,Arts,81.83,Engineering,0,"Not Applicable",3,4,2,1.8,5.3,59.9,4.2,24,1,9,0,1,15.14,0
STU000044,Female,23,"Tier 1",62.32,CBSE,64.17,State,Arts,56.35,Science,74.34,"Marketing & HR",3,2,3,7.2,6.3,33.3,6.3,0,0,3,0,1,10.21,1
STU000045,Male,21,"Tier 3",75.72,State,82.62,CBSE,Science,71.51,Engineering,0,"Not Applicable",1,6,0,5.7,7.6,64.4,6.4,33,1,2,5,1,12.22,0
STU000046,Female,21,"Tier 3",61.72,State,58.1,State,Science,68.76,Science,0,"Not Applicable",3,3,0,7.8,9.7,85.4,8.9,0,2,3,0,1,9.68,0
STU000047,Male,20,"Tier 3",67.97,State,55.97,CBSE,Science,54.54,Science,0,"Not Applicable",0,4,0,9.8,10,66.1,10,0,0,1,2,1,6.75,0
STU000048,Male,19,"Tier 2",80.25,State,73.38,CBSE,Commerce,47.64,Business,0,"Not Applicable",1,2,5,3.7,3.5,63.4,4,14,1,2,0,1,10.14,0
STU000049,Male,19,"Tier 1",74.82,State,66.92,State,Science,58.04,Arts,57.37,"Marketing & HR",1,6,1,8.9,8.8,43.5,8.3,21,0,2,1,1,13.44,1
STU000050,Male,20,"Tier 3",53.06,CBSE,61.65,State,Commerce,46.6,Engineering,0,"Not Applicable",1,4,0,4.9,5.5,53.9,4.3,0,0,2,1,1,5.99,0
STU000051,Female,19,"Tier 3",86.89,State,98.16,CBSE,Science,88.66,Arts,0,"Not Applicable",2,0,8,3.6,5.3,41.6,5.7,24,1,3,0,1,11.38,0
STU000052,Female,21,"Tier 3",68.28,CBSE,69.69,CBSE,Science,68.64,Engineering,0,"Not Applicable",1,1,1,6.7,8.1,57.4,7.7,0,0,5,0,1,9.57,0
STU000053,Female,19,"Tier 3",51.92,CBSE,52.92,State,Arts,53.21,Business,0,"Not Applicable",1,5,3,6.2,7.1,88.6,7.7,18,1,7,2,1,8.8,0
STU000054,Female,23,"Tier 1",77.73,ICSE,80.15,ICSE,Science,69.67,Business,50,"Finance & HR",5,3,4,7.3,8,37.2,6.4,12,1,0,2,1,16.79,1
STU000055,Female,22,"Tier 3",75.75,ICSE,89.51,State,Commerce,82.88,Other,0,"Not Applicable",3,3,2,9.8,7.1,39.6,6.5,8,1,6,5,1,10.44,0
STU000056,Female,23,"Tier 3",61.26,State,68.16,State,Science,80.2,Science,0,"Not Applicable",1,4,4,2.7,4,50.8,4.5,5,1,2,2,1,8.22,0
STU000057,Male,22,"Tier 3",70.97,State,67.67,State,Commerce,79.5,Engineering,0,"Not Applicable",1,4,2,7.1,7.5,44.5,8.6,28,1,0,1,1,13.08,0
STU000058,Male,22,"Tier 2",88.16,State,85.18,CBSE,Commerce,77.74,Arts,70.12,"Marketing & Finance",0,3,2,6.8,9.3,31.9,10,0,3,1,4,1,7.31,1
STU000059,Male,20,"Tier 2",79.01,State,91.24,CBSE,Science,97.36,Other,63.19,"Marketing & HR",1,2,2,6.8,7.1,55.9,7.9,0,1,1,2,0,0,1
STU000060,Male,19,"Tier 2",93.76,State,88.07,CBSE,Science,84.59,Business,0,"Not Applicable",1,3,3,4.9,6.8,68.2,5.2,23,4,3,4,1,15.73,0
STU000061,Male,25,"Tier 2",77.04,CBSE,70.33,CBSE,Arts,55.52,Other,72.36,"Finance & HR",2,4,6,4.1,4.6,63.6,5,35,2,5,0,1,12.68,1
STU000062,Male,21,"Tier 1",74.62,ICSE,77.26,State,Science,71.68,Science,69.22,"Finance & HR",1,2,4,5.2,5.3,71.3,6.2,19,2,4,0,1,13.32,1
STU000063,Female,19,"Tier 1",88.97,State,91.21,CBSE,Science,84.34,Business,0,"Not Applicable",0,3,6,7.2,9.5,16.7,9.5,36,0,3,0,1,19.81,0
STU000064,Male,20,"Tier 1",62.88,State,58.46,ICSE,Science,71.2,Arts,0,"Not Applicable",2,3,0,10,10,64.4,9.6,24,0,2,0,1,11.84,0
STU000065,Male,23,"Tier 3",70.16,State,59.02,State,Science,66.92,Science,0,"Not Applicable",1,6,0,3.8,4.7,77.7,4.5,1,0,3,1,0,0,0
STU000066,Male,20,"Tier 2",81.27,State,86.46,State,Commerce,89.94,Engineering,59.71,"Marketing & Finance",1,2,1,3.5,5.2,56.3,4.1,25,2,3,0,1,13.53,1
STU000067,Male,21,"Tier 1",73.66,State,70.6,State,Commerce,78.31,Engineering,0,"Not Applicable",1,7,1,8.3,10,51.3,9.9,15,4,3,1,0,0,0
STU000068,Female,22,"Tier 1",83.72,State,91.01,State,Science,86.76,Engineering,0,"Not Applicable",1,0,0,6.9,5.7,45.9,7.6,0,2,1,0,0,0,0
STU000069,Male,25,"Tier 3",72.86,State,67.08,CBSE,Commerce,65.8,Arts,0,"Not Applicable",0,1,2,6.9,7.7,74.8,9.5,30,0,0,0,1,11,0
STU000070,Other,18,"Tier 2",81.99,State,77.09,State,Science,68.85,Engineering,59.58,"Marketing & HR",3,6,0,3,5.5,78.2,6.7,13,1,0,0,1,10.99,1
STU000071,Female,21,"Tier 2",62.41,State,59.03,ICSE,Commerce,62.59,Business,0,"Not Applicable",4,5,4,3.6,6.6,63,6,25,1,4,2,1,11.29,0
STU000072,Male,26,"Tier 3",70.82,State,68.93,ICSE,Commerce,62.28,Engineering,0,"Not Applicable",4,3,2,6.7,7.2,86.7,5.8,4,1,3,1,1,12.14,0
STU000073,Male,20,"Tier 3",63.81,ICSE,73.91,CBSE,Science,67.79,Science,63.74,"Finance & HR",2,2,1,5,6.2,78.4,5.5,7,2,6,2,1,8.57,1
STU000074,Female,20,"Tier 3",66.52,State,53.31,CBSE,Science,45,Business,0,"Not Applicable",1,1,6,7.2,6.5,68.4,5.7,29,1,3,5,1,12,0
STU000075,Female,20,"Tier 3",49.97,ICSE,49.52,CBSE,Science,51.18,Engineering,0,"Not Applicable",5,7,2,6.8,6.6,91.4,6.9,22,3,7,1,1,12.25,0
STU000076,Female,21,"Tier 2",66.47,State,59.27,ICSE,Commerce,65.2,Business,0,"Not Applicable",2,5,0,7.1,6.9,35.2,7.5,23,1,7,0,1,9.6,0
STU000077,Female,21,"Tier 2",79.11,CBSE,70.03,State,Arts,65.17,Business,0,"Not Applicable",1,3,3,3.8,3.1,71.2,3.8,34,1,5,0,1,11.77,0
STU000078,Male,22,"Tier 1",58.01,State,47.18,State,Arts,66.98,Arts,0,"Not Applicable",0,5,2,7.3,10,86.9,9.7,14,3,4,0,1,11.69,0
STU000079,Male,22,"Tier 1",55.34,CBSE,68.05,CBSE,Commerce,74.9,Science,0,"Not Applicable",3,0,1,3.9,3.1,52.2,4.5,15,0,3,1,1,11.19,0
STU000080,Male,22,"Tier 1",62.98,ICSE,65.22,State,Commerce,55.19,Business,0,"Not Applicable",2,3,3,6.3,8.9,52.8,8.2,0,0,2,0,1,9.69,0
STU000081,Female,21,"Tier 2",54.43,State,59.74,State,Science,57.3,Other,70.76,"Finance & HR",0,4,0,7.4,6.3,42.5,5.3,6,2,2,0,1,6.66,1
STU000082,Female,26,"Tier 2",88.22,State,93.31,ICSE,Commerce,87.61,Engineering,0,"Not Applicable",4,7,2,5.8,5.7,54.3,6.7,22,0,2,0,1,14.21,0
STU000083,Male,22,"Tier 2",66.74,State,59.99,CBSE,Science,59.39,Engineering,0,"Not Applicable",0,9,5,9.2,7.9,65.6,7.7,0,1,9,1,1,11.6,0
STU000084,Male,20,"Tier 2",86.85,State,86.58,CBSE,Commerce,76.49,Engineering,0,"Not Applicable",2,5,1,10,9.6,90.8,9.1,0,2,1,0,1,15.42,0
STU000085,Male,21,"Tier 2",74.77,CBSE,77.11,State,Arts,70.28,Engineering,0,"Not Applicable",0,4,6,2.6,2.2,59.7,2,27,1,4,0,1,11.28,0
STU000086,Male,23,"Tier 3",72.4,CBSE,79.67,CBSE,Commerce,81.25,Engineering,0,"Not Applicable",1,3,1,5.8,6,48.7,6.1,0,1,4,0,1,9.63,0
STU000087,Female,22,"Tier 3",67.33,CBSE,67.14,CBSE,Commerce,53.36,Engineering,0,"Not Applicable",0,2,0,8.6,6.8,100,6.9,36,0,4,0,1,14.01,0
STU000088,Female,22,"Tier 2",62.41,State,60.1,State,Science,55.82,Engineering,50,"Finance & HR",1,3,2,2.9,2.7,63.3,3,8,2,1,2,0,0,1
STU000089,Female,24,"Tier 1",47.48,State,40,State,Science,45,Engineering,77.38,"Marketing & HR",1,4,4,8.6,9.5,51.1,9.4,33,3,5,0,1,13.33,1
STU000090,Male,21,"Tier 3",70.6,CBSE,67.23,CBSE,Commerce,67.4,Business,0,"Not Applicable",4,3,0,5.6,5.9,66.6,4.8,0,1,1,1,1,9.77,0
STU000091,Male,18,"Tier 1",70.72,CBSE,65.21,CBSE,Commerce,49.54,Science,52.38,"Marketing & Finance",4,1,0,4.5,6.9,71.5,8.4,29,3,4,2,1,12.87,1
STU000092,Female,26,"Tier 2",80.98,CBSE,92.65,State,Science,82.02,Engineering,62.52,"Finance & HR",2,3,3,7.3,4.4,84.2,6.1,11,2,2,0,1,15.53,1
STU000093,Female,21,"Tier 1",72.18,CBSE,88.55,State,Arts,93.24,Science,65.81,"Marketing & HR",1,2,1,5.7,6.9,71.4,7.5,5,0,4,0,1,11.4,1
STU000094,Female,20,"Tier 2",70.58,CBSE,63.43,State,Science,69.52,Engineering,0,"Not Applicable",4,2,3,6.6,7.9,68.7,8.8,1,1,2,1,1,12.37,0
STU000095,Female,22,"Tier 2",74.51,ICSE,84.78,State,Commerce,88.31,Engineering,0,"Not Applicable",3,1,4,7.1,3.6,56.8,4,0,0,4,1,1,15.16,0
STU000096,Male,22,"Tier 3",76.1,State,92.54,CBSE,Science,76.81,Other,77.45,"Finance & HR",1,5,0,5.8,7.6,67.5,7.7,29,2,1,0,1,9.99,1
STU000097,Male,22,"Tier 3",66.85,State,62.59,State,Science,57.96,Business,0,"Not Applicable",2,2,2,6,4.9,48.5,5.4,0,0,1,0,1,7.66,0
STU000098,Male,25,"Tier 3",73.51,CBSE,64.35,State,Science,51.42,Engineering,59.95,"Marketing & HR",3,3,2,3.6,6.9,69.4,4.9,0,1,4,0,1,9,1
STU000099,Male,21,"Tier 3",67.06,State,56.56,State,Commerce,65.09,Engineering,0,"Not Applicable",1,4,0,4.7,8,66.3,6.6,35,0,3,5,0,0,0
STU000100,Male,19,"Tier 3",54.76,State,64.58,CBSE,Science,58.42,Arts,0,"Not Applicable",2,0,2,4.7,4.9,59.5,5.3,0,0,0,1,1,6.79,0
STU000101,Male,24,"Tier 3",66.08,CBSE,70.44,ICSE,Commerce,51.29,Engineering,0,"Not Applicable",1,7,5,6.7,4.4,90.1,2.6,24,4,6,0,1,13.14,0
STU000102,Female,20,"Tier 1",76.55,CBSE,72.39,State,Science,77.53,Science,0,"Not Applicable",2,7,2,9.6,9.9,47.1,8.2,17,2,2,0,1,14.59,0
STU000103,Male,22,"Tier 3",78.73,CBSE,83.83,CBSE,Science,80.37,Other,54.35,"Marketing & HR",3,7,3,6.1,6.6,77,7.9,0,0,2,0,1,11.35,1
STU000104,Male,20,"Tier 1",89.42,CBSE,100,CBSE,Science,100,Engineering,0,"Not Applicable",2,3,3,2.8,3.2,89.5,4.2,16,1,0,0,1,15.58,0
STU000105,Female,23,"Tier 3",81.96,ICSE,74.4,State,Science,84.89,Business,0,"Not Applicable",0,5,1,4.5,4.4,55.1,5,16,5,2,2,1,10.7,0
STU000106,Male,24,"Tier 1",71.8,State,60.64,CBSE,Arts,67.31,Science,0,"Not Applicable",5,0,1,7.1,7.6,34.2,8.4,2,1,4,0,1,12.47,0
STU000107,Male,20,"Tier 3",57.06,State,56.16,CBSE,Arts,45,Business,0,"Not Applicable",4,8,4,5.7,6.1,57.6,7.1,1,3,0,0,1,8.57,0
STU000108,Female,20,"Tier 3",82.58,State,85.16,State,Science,75.31,Engineering,0,"Not Applicable",0,2,4,7.2,6.6,57.2,7.1,0,1,1,2,1,9.45,0
STU000109,Male,24,"Tier 2",97.06,CBSE,100,State,Science,86.94,Business,59.8,"Marketing & HR",1,0,0,4.6,6.1,45.6,5.9,0,3,2,0,1,9.5,1
STU000110,Male,23,"Tier 3",67.22,State,65.4,State,Arts,71.13,Engineering,0,"Not Applicable",0,3,2,3,3.3,44.8,3.1,4,0,4,0,1,6.95,0
STU000111,Male,19,"Tier 1",70.09,State,74.49,CBSE,Arts,62.29,Engineering,0,"Not Applicable",3,4,2,5.2,6.3,66.9,7.5,35,3,1,0,1,17.03,0
STU000112,Male,20,"Tier 1",75.5,CBSE,68.12,CBSE,Arts,45.64,Engineering,74.43,"Marketing & Finance",0,3,1,2.8,3.4,37.8,3.8,36,1,3,0,1,12.15,1
STU000113,Female,21,"Tier 1",61.65,CBSE,57.68,CBSE,Commerce,52.83,Engineering,0,"Not Applicable",2,3,2,7.1,5.8,88.8,5.9,0,2,5,0,1,11.51,0
STU000114,Female,23,"Tier 1",68.22,State,58.68,CBSE,Commerce,58.35,Science,59.99,"Marketing & HR",2,3,5,5.4,3.5,61.4,2.6,0,1,1,0,1,11.46,1
STU000115,Female,20,"Tier 1",75.84,CBSE,81.71,CBSE,Arts,93.79,Other,0,"Not Applicable",3,2,2,2,6,55.1,4.7,0,0,4,1,1,12.28,0
STU000116,Female,22,"Tier 3",90.88,State,83.58,ICSE,Science,54.57,Business,0,"Not Applicable",4,4,1,4.2,5.9,44.7,8,21,1,5,1,1,11.69,0
STU000117,Female,20,"Tier 3",59.27,State,53.75,ICSE,Science,47.58,Engineering,0,"Not Applicable",2,5,0,5.4,6.3,78.3,6.5,0,0,1,0,1,8.68,0
STU000118,Male,21,"Tier 3",61.19,State,54.3,CBSE,Science,53.59,Engineering,0,"Not Applicable",3,0,3,8.5,9.3,34.8,10,11,0,3,1,1,11.22,0
STU000119,Female,22,"Tier 2",72.83,CBSE,70.86,State,Commerce,73.83,Science,71.07,"Marketing & Finance",1,1,1,4.6,3.2,41.4,3.2,25,0,3,0,1,9.48,1
STU000120,Male,19,"Tier 2",65.99,State,49.85,CBSE,Commerce,45,Engineering,0,"Not Applicable",2,3,3,7.3,8,86.2,8.8,0,0,1,1,1,9.12,0
STU000121,Female,20,"Tier 2",64.64,ICSE,55.37,State,Commerce,45,Engineering,62.97,"Marketing & Finance",2,2,2,7,9.4,76,9.1,8,0,7,0,1,11.85,1
STU000122,Female,23,"Tier 1",64.95,State,62.35,State,Science,69.49,Engineering,0,"Not Applicable",2,4,2,7.9,8,74,7.9,0,0,2,0,1,14.12,0
STU000123,Male,20,"Tier 2",59.58,State,61.29,State,Science,55.03,Other,0,"Not Applicable",2,3,4,4.3,7.4,78.9,5.9,3,2,2,0,1,9.81,0
STU000124,Male,22,"Tier 3",81.9,State,78.42,State,Arts,69.85,Science,0,"Not Applicable",2,2,6,8,10,76.4,10,0,0,3,0,1,9.75,0
STU000125,Male,22,"Tier 1",64.17,CBSE,57.62,State,Science,68.18,Engineering,0,"Not Applicable",3,3,1,4.5,8.4,42.1,8.7,0,0,2,1,1,9.73,0
STU000126,Male,22,"Tier 1",75.65,State,71.89,CBSE,Science,81.92,Science,0,"Not Applicable",3,3,1,1.8,2.4,76.8,1,27,4,4,2,1,12.67,0
STU000127,Female,20,"Tier 2",42.96,CBSE,52.31,State,Science,59.09,Science,0,"Not Applicable",1,4,4,5.2,4.3,87.6,4.2,36,0,1,0,1,13.33,0
STU000128,Female,21,"Tier 3",92.74,State,93.82,State,Science,100,Business,50,"Marketing & HR",1,3,5,7.6,6,62.3,6.5,31,2,2,3,1,14.7,1
STU000129,Male,22,"Tier 2",54.06,State,44.79,State,Science,45,Business,0,"Not Applicable",2,1,4,5.5,3.6,64.3,3.2,0,3,0,0,1,9.73,0
STU000130,Male,23,"Tier 3",69.49,ICSE,79.14,CBSE,Science,100,Engineering,50,"Marketing & HR",2,2,5,6.6,9.5,61.3,9.7,0,0,2,0,1,11.58,1
STU000131,Male,23,"Tier 3",75.53,CBSE,77.69,CBSE,Arts,71.1,Engineering,0,"Not Applicable",3,4,0,3.8,4.4,63.5,5.9,4,0,0,2,0,0,0
STU000132,Male,22,"Tier 2",67.85,ICSE,81.43,State,Commerce,71.38,Science,0,"Not Applicable",2,4,0,1.4,1.3,87.7,1.6,0,3,4,0,0,0,0
STU000133,Male,21,"Tier 2",69.07,State,83.13,State,Science,80.73,Engineering,0,"Not Applicable",0,4,6,6.3,5.2,56.6,4.4,16,1,2,0,1,13.61,0
STU000134,Male,20,"Tier 3",57.19,State,46.98,CBSE,Science,52.76,Engineering,52.42,"Marketing & Finance",2,0,1,2.4,1.7,65.7,1.3,32,2,3,2,1,9.93,1
STU000135,Female,23,"Tier 2",76.96,CBSE,82.7,State,Commerce,78.68,Engineering,58.28,"Marketing & HR",0,4,4,7.4,9,46.7,7.5,24,2,3,0,1,13.97,1
STU000136,Male,22,"Tier 1",62.62,State,65.22,CBSE,Science,60.81,Science,65.31,"Marketing & Finance",3,7,0,2.6,3.3,70,1.4,0,2,0,0,1,9.92,1
STU000137,Male,21,"Tier 2",78,State,72.59,State,Science,78.53,Engineering,67.31,"Finance & HR",2,3,2,8.5,9.4,48.1,8.8,5,0,2,1,1,13.6,1
STU000138,Female,25,"Tier 3",76.44,State,89.26,ICSE,Commerce,79.21,Engineering,0,"Not Applicable",1,6,1,6,8.9,87.6,8.8,0,4,8,0,1,11.5,0
STU000139,Male,23,"Tier 1",80,CBSE,84.1,CBSE,Arts,83.97,Business,0,"Not Applicable",2,8,1,7.8,4.5,50.7,5.2,0,1,1,2,1,14.14,0
STU000140,Female,22,"Tier 2",68.63,State,74.39,CBSE,Science,88.82,Business,68.33,"Finance & HR",3,2,0,6.2,8.1,98.9,7.8,0,1,2,0,1,13.44,1
STU000141,Female,21,"Tier 3",69.8,State,85.46,State,Commerce,76.16,Business,50,"Marketing & Finance",0,2,3,4.7,4.1,22.5,4.9,0,0,1,0,1,7.17,1
STU000142,Male,21,"Tier 3",71.62,CBSE,72.44,State,Science,61.82,Engineering,81.13,"Marketing & HR",3,3,0,7.3,7.6,64.7,7.7,0,0,5,0,1,10.24,1
STU000143,Male,24,"Tier 1",100,State,92.64,State,Arts,89.99,Engineering,64.31,"Marketing & HR",3,4,0,6.7,6.9,72.8,7.7,0,0,4,3,1,17.96,1
STU000144,Male,21,"Tier 2",73,CBSE,81.22,State,Science,70.18,Business,0,"Not Applicable",2,3,3,4.4,4.8,85.2,4.3,0,2,5,0,1,12.28,0
STU000145,Male,23,"Tier 2",79.91,State,87,CBSE,Commerce,99.33,Science,73.42,"Marketing & HR",1,0,3,8,7.9,72.9,8.8,15,4,2,0,1,12.71,1
STU000146,Male,24,"Tier 3",73.78,State,70.46,State,Arts,45,Engineering,0,"Not Applicable",1,3,4,4.8,5.1,46.9,5.2,29,4,3,0,1,10.32,0
STU000147,Female,21,"Tier 3",64.17,CBSE,55.45,ICSE,Science,45,Business,70.77,"Marketing & Finance",2,1,0,6.6,6.8,70.6,7.9,0,4,3,2,1,8.9,1
STU000148,Male,22,"Tier 1",40,State,49.66,CBSE,Arts,54.09,Engineering,79.01,"Marketing & Finance",0,0,1,5.5,5.3,61.1,5.6,30,0,2,0,1,10.73,1
STU000149,Male,20,"Tier 2",89.66,ICSE,82.88,CBSE,Commerce,81.61,Science,0,"Not Applicable",0,6,2,9,7.6,52.9,7.1,0,0,6,0,1,10.34,0
